id,object,result_position,task_id,bookmarks_count,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,full_text,internal_unique_id,is_retweeted,is_quoted,likes,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,name,original_tweet_url,original_tweet_id,created_at,quote_count,retweet_count,reply_count,tweet_url,user_id,username,views_count,collected_at,input_url
1385615,result,1,61693049,0,,,,,,Bbri .4 jam https://t.co/uIcNcVNaH7,1.89175E+18,f,f,4,https://pbs.twimg.com/media/GkDcLiGaAAMaCCG.jpg,photo,https://pbs.twimg.com/media/GkDcLiGaAAMaCCG.jpg,,,,,,,,,,Darwiz,,,2025-02-18 07:37:40+00,0,0,1,https://twitter.com/Ddarwin889/status/1891753936455143862,1453409431,Ddarwin889,943,2025-02-25 05:42:15.186304+00,https://x.com/search?q=bbri%20since%3A2025-02-18%20until%3A2025-02-19%20lang%3Aid&src=typed_query&f=top
1385600,result,2,61693049,12,,,,,,Indomaret viral  https://t.co/g5bqsuBakB  https://t.co/ym700FnkUp  https://t.co/y3WfPiKjf6  https://t.co/gE0Jjidu3B  https://t.co/cwIJUkfQWf  Kecil bbri yusril pagii danantara https://t.co/EXivSXTyrC,1.89168E+18,f,f,14,https://pbs.twimg.com/media/GkCY9NyaAAAOrkj.jpg,photo,https://pbs.twimg.com/media/GkCY9NyaAAAOrkj.jpg,,,,,,,,,,Lolly.,,,2025-02-18 02:43:59+00,0,5,1,https://twitter.com/dwelliest/status/1891680028410126758,469050089,dwelliest,16700,2025-02-25 05:42:15.470252+00,https://x.com/search?q=bbri%20since%3A2025-02-18%20until%3A2025-02-19%20lang%3Aid&src=typed_query&f=top
1445744,result,3,61693049,0,,,,,,Bos $BBRI lagi mencari penebar fear di saham BBRI  Ayo ngaku  Kali mau dikasih 100 lot saham BBRI 😂  Source: https://t.co/vFNHcewuWY https://t.co/SUh2I7jhWS,1.89169E+18,f,f,0,https://pbs.twimg.com/media/GkChAWsaAAES-t7.jpg,photo,https://pbs.twimg.com/media/GkChAWsaAAES-t7.jpg,,,,,,,,,,Dro,,,2025-02-18 03:19:09+00,0,0,0,https://twitter.com/ndrosubiyanto/status/1891688879050182768,34588976,ndrosubiyanto,255,2025-02-25 05:42:15.744914+00,https://x.com/search?q=bbri%20since%3A2025-02-18%20until%3A2025-02-19%20lang%3Aid&src=typed_query&f=top
1445745,result,4,61693049,0,,,,,,"Investor Asing Borong Saham Bank, BBRI Paling Banyak  https://t.co/Q1au622Vlt",1.89167E+18,f,f,0,,,,,,,,,,,,,Bloomberg Technoz,,,2025-02-18 01:44:49+00,0,1,0,https://twitter.com/BloombergTZ/status/1891665140099031224,1.58297E+18,BloombergTZ,210,2025-02-25 05:42:16.049897+00,https://x.com/search?q=bbri%20since%3A2025-02-18%20until%3A2025-02-19%20lang%3Aid&src=typed_query&f=top
1445746,result,5,61693049,0,,,,,,"BBRI Diborong, Katanya Bisa Segini https://t.co/ezQtKJLlrN via @InvestorID",1.89167E+18,f,f,0,,,,,,,,,,,,,Investor Daily,,,2025-02-18 02:08:53+00,0,0,0,https://twitter.com/InvestorID/status/1891671197378564470,238091066,InvestorID,302,2025-02-25 05:42:16.33586+00,https://x.com/search?q=bbri%20since%3A2025-02-18%20until%3A2025-02-19%20lang%3Aid&src=typed_query&f=top
1445747,result,6,61693049,0,,,,,,Emang udah waktunya cutloss $BBRI,1.89166E+18,f,t,0,,,,,,,,,,,,,Dark side of the moon,https://twitter.com/tanyakanrl/status/Field,1.89E+18,2025-02-18 01:15:32+00,0,0,0,https://twitter.com/arcanecasa/status/1891657771575066967,1.80086E+18,arcanecasa,147,2025-02-25 05:42:16.617637+00,https://x.com/search?q=bbri%20since%3A2025-02-18%20until%3A2025-02-19%20lang%3Aid&src=typed_query&f=top
1445748,result,7,61693049,0,,,,,,BBRI : Apakah sudah selesai tren turunnya? | Elliott Wave Analysis,1.89179E+18,f,f,0,,,,,,,,,,,,,Andriy,,,2025-02-18 10:15:39+00,0,0,1,https://twitter.com/wavetiga/status/1891793694216356037,67387899,wavetiga,49,2025-02-25 05:42:16.932364+00,https://x.com/search?q=bbri%20since%3A2025-02-18%20until%3A2025-02-19%20lang%3Aid&src=typed_query&f=top
1445749,result,8,61693049,0,,,,,,"Saham $BBRI $BMRI $BBNI kompak naik setelah ketiganya kompak mengumumkan rencana buyback. Meski, ada sentimen positif lainnya terkait penguatan rupiah juga sih. https://t.co/OKrSGt5OzR",1.89168E+18,f,f,0,https://pbs.twimg.com/tweet_video_thumb/GkCcwPuboAAuVWb.jpg,animated_gif,,,,,,,,,,,mikir duit,,,2025-02-18 03:00:34+00,0,0,1,https://twitter.com/Mikirduitcom/status/1891684201490997695,1.63743E+18,Mikirduitcom,474,2025-02-25 05:42:17.208196+00,https://x.com/search?q=bbri%20since%3A2025-02-18%20until%3A2025-02-19%20lang%3Aid&src=typed_query&f=top
1385602,result,9,61693049,1,,,,,,"Turut serta beli BBRI, tetapi harga 3800an. 🙏 @indopremier Konten #CeritaRUPS jadi beli untuk datang RUPS Tahunan. Kebetulan pas sedang turun, cuma kebetulan  (Disclaimer On) https://t.co/ra5chXbfgg",1.89176E+18,f,f,1,https://pbs.twimg.com/media/GkDgscHaAAIqXNx.jpg,photo,https://pbs.twimg.com/media/GkDgscHaAAIqXNx.jpg,,,,,,,,,,Giovanni,,,2025-02-18 07:57:23+00,0,0,1,https://twitter.com/KokoGiovanni/status/1891758900312944952,139982550,KokoGiovanni,716,2025-02-25 05:42:17.48114+00,https://x.com/search?q=bbri%20since%3A2025-02-18%20until%3A2025-02-19%20lang%3Aid&src=typed_query&f=top
1445750,result,10,61693049,0,,,,,,Kinerja BTPS posisi Q4 jauh lebih baik dibandingkan Q3 nya. Ada penurunan CKPN yg cukup signifikan. Kondisi yg mirip dengan BBRI.  Bisa dikatakan faktor event pilkada terkonfirmasi mampu membuat daya beli masyarakat naik. https://t.co/JzME3wLBoB,1.89166E+18,f,f,0,https://pbs.twimg.com/media/GkCDhL6bIAATlam.jpg,photo,https://pbs.twimg.com/media/GkCDhL6bIAATlam.jpg,,,,,,,,,,Erose Perwita,,,2025-02-18 01:10:19+00,0,0,1,https://twitter.com/eroseperwita/status/1891656456497143920,2992265519,eroseperwita,72,2025-02-25 05:42:17.757004+00,https://x.com/search?q=bbri%20since%3A2025-02-18%20until%3A2025-02-19%20lang%3Aid&src=typed_query&f=top
