created_at,full_text,text_casefolded,text_clean,text_tokens,text_normalized,text_stopword,text_stemmed,tranlate
2025-02-01 01:56:24+00:00,@EvaMalca @valentrywandi Emang dia yg ajarin Ikan sepat ikan lele Masih nyangkut bbri le,@evamalca @valentrywandi emang dia yg ajarin ikan sepat ikan lele masih nyangkut bbri le,emang dia yg ajarin ikan sepat ikan lele masih nyangkut bbri le,"['emang', 'dia', 'yg', 'ajarin', 'ikan', 'sepat', 'ikan', 'lele', 'masih', 'nyangkut', 'bbri', 'le']","['memang', 'dia', 'yang', 'ajarkan', 'ikan', 'sepat', 'ikan', 'lele', 'masih', 'nyangkut', 'bbri', 'boleh']","['memang', 'ajarkan', 'ikan', 'sepat', 'ikan', 'lele', 'nyangkut', 'bbri']",memang ajar ikan sepat ikan lele nyangkut bbri,indeed teach sepat fish catfish get caught in the bbri
2025-02-01 02:16:00+00:00,Habis ini akan borong BBRI,habis ini akan borong bbri,habis ini akan borong bbri,"['habis', 'ini', 'akan', 'borong', 'bbri']","['habis', 'ini', 'akan', 'borong', 'bbri']","['habis', 'borong', 'bbri']",habis borong bbri,sold out bbri
2025-02-01 02:38:12+00:00,@marvelle_danny @valentrywandi kenapa harus bbri padahal ada saham lain,@marvelle_danny @valentrywandi kenapa harus bbri padahal ada saham lain,kenapa harus bbri padahal ada saham lain,"['kenapa', 'harus', 'bbri', 'padahal', 'ada', 'saham', 'lain']","['kenapa', 'harus', 'bbri', 'padahal', 'ada', 'saham', 'lain']","['bbri', 'padahal', 'saham']",bbri padahal saham,bbri even though shares
2025-02-01 02:46:09+00:00,Saham $BBRI saat ini memiliki nilai rasio P/E yang sangat rendah dalam 5 tahun terakhir. Saatnya beli? https://t.co/TzbCjijLHU,saham $bbri saat ini memiliki nilai rasio p/e yang sangat rendah dalam 5 tahun terakhir. saatnya beli? https://t.co/tzbcjijlhu,saham bbri saat ini memiliki nilai rasio pe yang sangat rendah dalam tahun terakhir saatnya beli,"['saham', 'bbri', 'saat', 'ini', 'memiliki', 'nilai', 'rasio', 'pe', 'yang', 'sangat', 'rendah', 'dalam', 'tahun', 'terakhir', 'saatnya', 'beli']","['saham', 'bbri', 'saat', 'ini', 'memiliki', 'nilai', 'rasio', 'pe', 'yang', 'sangat', 'rendah', 'dalam', 'tahun', 'terakhir', 'saatnya', 'beli']","['saham', 'bbri', 'memiliki', 'nilai', 'rasio', 'pe', 'sangat', 'rendah', 'tahun', 'terakhir', 'saatnya', 'beli']",saham bbri milik nilai rasio pe sangat rendah tahun akhir saat beli,bbri shares have a very low pe ratio value at the end of the year when purchased
2025-02-01 02:58:44+00:00,Mengapa harus ragu? Secara teknikal weekly chart bakalan rebound nih. PE Ratio jg masih Good Value dibanding bbrpa bank lain. Semoga jadi katalist yg baik untuk mempercepat proses $BBRI balik ke kepala 5 lagi. https://t.co/5LbCRNH7XA,mengapa harus ragu? secara teknikal weekly chart bakalan rebound nih. pe ratio jg masih good value dibanding bbrpa bank lain. semoga jadi katalist yg baik untuk mempercepat proses $bbri balik ke kepala 5 lagi. https://t.co/5lbcrnh7xa,mengapa harus ragu secara teknikal weekly chart bakalan rebound nih pe ratio jg masih good value dibanding bbrpa bank lain semoga jadi katalist yg baik untuk mempercepat proses bbri balik ke kepala lagi,"['mengapa', 'harus', 'ragu', 'secara', 'teknikal', 'weekly', 'chart', 'bakalan', 'rebound', 'nih', 'pe', 'ratio', 'jg', 'masih', 'good', 'value', 'dibanding', 'bbrpa', 'bank', 'lain', 'semoga', 'jadi', 'katalist', 'yg', 'baik', 'untuk', 'mempercepat', 'proses', 'bbri', 'balik', 'ke', 'kepala', 'lagi']","['mengapa', 'harus', 'ragu', 'secara', 'teknikal', 'weekly', 'chart', 'bakalan', 'rebound', 'nih', 'pe', 'ratio', 'juga', 'masih', 'good', 'value', 'dibanding', 'beberapa', 'bank', 'lain', 'semoga', 'jadi', 'katalist', 'yang', 'baik', 'untuk', 'mempercepat', 'proses', 'bbri', 'balik', 'ke', 'kepala', 'lagi']","['ragu', 'teknikal', 'weekly', 'chart', 'bakalan', 'rebound', 'nih', 'pe', 'ratio', 'good', 'value', 'dibanding', 'beberapa', 'bank', 'semoga', 'jadi', 'katalist', 'baik', 'mempercepat', 'proses', 'bbri', 'balik', 'kepala']",ragu teknikal weekly chart bakal rebound nih pe ratio good value banding beberapa bank moga jadi katalist baik cepat proses bbri balik kepala,"i doubt the weekly chart will rebound technically, the ratio is good value compared to several banks, hopefully it will be a good catalyst for the fast process of bri turning its head"
2025-02-01 03:34:05+00:00,sudah waktunya bbri ath,sudah waktunya bbri ath,sudah waktunya bbri ath,"['sudah', 'waktunya', 'bbri', 'ath']","['sudah', 'waktunya', 'bbri', 'ath']","['waktunya', 'bbri', 'ath']",waktu bbri ath,bbri ath time
2025-02-01 03:49:57+00:00,@doktermarket BBCA juga lagi dikasih masuk. Saat banyak yang tebar fear (seperti BBRI lalu) berarti waktunya cicil masuk,@doktermarket bbca juga lagi dikasih masuk. saat banyak yang tebar fear (seperti bbri lalu) berarti waktunya cicil masuk,bbca juga lagi dikasih masuk saat banyak yang tebar fear seperti bbri lalu berarti waktunya cicil masuk,"['bbca', 'juga', 'lagi', 'dikasih', 'masuk', 'saat', 'banyak', 'yang', 'tebar', 'fear', 'seperti', 'bbri', 'lalu', 'berarti', 'waktunya', 'cicil', 'masuk']","['bbca', 'juga', 'lagi', 'dikasih', 'masuk', 'saat', 'banyak', 'yang', 'tebar', 'fear', 'seperti', 'bbri', 'lalu', 'berarti', 'waktunya', 'cicil', 'masuk']","['bbca', 'dikasih', 'masuk', 'banyak', 'tebar', 'fear', 'bbri', 'lalu', 'berarti', 'waktunya', 'cicil', 'masuk']",bbca kasih masuk banyak tebar fear bbri lalu arti waktu cicil masuk,bbca give a lot of entry spread fear bbri then meaning installment entry time
2025-02-01 04:20:17+00:00,BBRI trades at 1.9x PB 25CL with 8% div yield. Valuasi sudah super murah wajar diusulkan buat BUYBACK Channel https://t.co/xBidHQEGRD https://t.co/O8Cw0F8Ehu,bbri trades at 1.9x pb 25cl with 8% div yield. valuasi sudah super murah wajar diusulkan buat buyback channel https://t.co/xbidhqegrd https://t.co/o8cw0f8ehu,bbri trades at x pb cl with div yield valuasi sudah super murah wajar diusulkan buat buyback channel,"['bbri', 'trades', 'at', 'x', 'pb', 'cl', 'with', 'div', 'yield', 'valuasi', 'sudah', 'super', 'murah', 'wajar', 'diusulkan', 'buat', 'buyback', 'channel']","['bbri', 'trades', 'at', 'kali', 'pb', 'cl', 'with', 'div', 'yield', 'valuasi', 'sudah', 'super', 'murah', 'wajar', 'diusulkan', 'buat', 'buyback', 'channel']","['bbri', 'trades', 'at', 'kali', 'pb', 'cl', 'with', 'div', 'yield', 'valuasi', 'super', 'murah', 'wajar', 'diusulkan', 'buat', 'buyback', 'channel']",bbri trades at kali pb cl with div yield valuasi super murah wajar usul buat buyback channel,bbri trades at kali pb cl with div yield super cheap valuation reasonable suggestion for buyback channel
2025-02-01 04:49:25+00:00,PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) menghapus kredit macet senilai Rp71 triliun terutama dari debitur sektor Usaha Mikro Kecil dan Menengah (UMKM). Baca selengkapnya: https://t.co/h2YG2jCoMf : IDNFinancials https://t.co/ueoPhQg61O,pt bank rakyat indonesia (persero) tbk (bbri) menghapus kredit macet senilai rp71 triliun terutama dari debitur sektor usaha mikro kecil dan menengah (umkm). baca selengkapnya: https://t.co/h2yg2jcomf : idnfinancials https://t.co/ueophqg61o,pt bank rakyat indonesia persero tbk bbri menghapus kredit macet senilai rp triliun terutama dari debitur sektor usaha mikro kecil dan menengah umkm baca selengkapnya idnfinancials,"['pt', 'bank', 'rakyat', 'indonesia', 'persero', 'tbk', 'bbri', 'menghapus', 'kredit', 'macet', 'senilai', 'rp', 'triliun', 'terutama', 'dari', 'debitur', 'sektor', 'usaha', 'mikro', 'kecil', 'dan', 'menengah', 'umkm', 'baca', 'selengkapnya', 'idnfinancials']","['pt', 'bank', 'rakyat', 'indonesia', 'persero', 'tbk', 'bbri', 'menghapus', 'kredit', 'macet', 'senilai', 'rp', 'triliun', 'terutama', 'dari', 'debitur', 'sektor', 'usaha', 'mikro', 'kecil', 'dan', 'menengah', 'umkm', 'baca', 'selengkapnya', 'idnfinancials']","['pt', 'bank', 'rakyat', 'indonesia', 'persero', 'tbk', 'bbri', 'menghapus', 'kredit', 'macet', 'senilai', 'rp', 'triliun', 'terutama', 'debitur', 'sektor', 'usaha', 'mikro', 'kecil', 'menengah', 'umkm', 'baca', 'selengkapnya', 'idnfinancials']",pt bank rakyat indonesia persero tbk bbri hapus kredit macet nila rp triliun utama debitur sektor usaha mikro kecil tengah umkm baca lengkap idnfinancials,"pt bank rakyat indonesia persero tbk bbri writes off bad debts worth rp trillion, the main debtor in the micro, small and medium enterprises (msmes) sector, read in full idnfinancials"
2025-02-01 04:57:07+00:00,@EvaMalca @valentrywandi Bbri nyangkut saham lain invest,@evamalca @valentrywandi bbri nyangkut saham lain invest,bbri nyangkut saham lain invest,"['bbri', 'nyangkut', 'saham', 'lain', 'invest']","['bbri', 'nyangkut', 'saham', 'lain', 'invest']","['bbri', 'nyangkut', 'saham', 'invest']",bbri nyangkut saham invest,bbri stuck in investment shares
